"","año","mes","ccaa","nivel","volumen"
"377","2014","Febrero","Cataluña","2",101719.69
"378","2014","Febrero","Cataluña","3",118654.27
"379","2014","Febrero","Cataluña","4",30616.6
"380","2014","Febrero","Cataluña","5",24954.07
"381","2014","Febrero","Extremadura","1",9676.2
"382","2014","Febrero","Extremadura","2",12361.46
"383","2014","Febrero","Extremadura","3",20519.68
"384","2014","Febrero","Extremadura","4",3972.26
"385","2014","Febrero","Extremadura","5",3795.28
"386","2014","Febrero","Galicia","1",26042.29
"387","2014","Febrero","Galicia","2",35785.98
"388","2014","Febrero","Galicia","3",55274.07
"389","2014","Febrero","Galicia","4",11709.33
"390","2014","Febrero","Galicia","5",6489.19
"391","2014","Febrero","Islas Baleares","1",15923.93
"392","2014","Febrero","Islas Baleares","2",13088.86
"393","2014","Febrero","Islas Baleares","3",18600.74
"394","2014","Febrero","Islas Baleares","4",4799.38
"395","2014","Febrero","Islas Baleares","5",3814.21
"396","2014","Febrero","La Rioja","1",2521.72
"397","2014","Febrero","La Rioja","2",4853.15
"398","2014","Febrero","La Rioja","3",7376.6
"399","2014","Febrero","La Rioja","4",1482.04
"400","2014","Febrero","La Rioja","5",1029.93
"401","2014","Febrero","Madrid, Comunidad de","1",40937.11
"402","2014","Febrero","Madrid, Comunidad de","2",87089.31
"403","2014","Febrero","Madrid, Comunidad de","3",115036.56
"404","2014","Febrero","Madrid, Comunidad de","4",26592.53
"405","2014","Febrero","Madrid, Comunidad de","5",20306.27
"406","2014","Febrero","Murcia, Región de","1",13704.34
"407","2014","Febrero","Murcia, Región de","2",17392.9
"408","2014","Febrero","Murcia, Región de","3",21522.65
"409","2014","Febrero","Murcia, Región de","4",5069.35
"410","2014","Febrero","Murcia, Región de","5",4906.18
"411","2014","Febrero","Navarra, Comunidad Foral de","1",5361.58
"412","2014","Febrero","Navarra, Comunidad Foral de","2",8500.72
"413","2014","Febrero","Navarra, Comunidad Foral de","3",15206.92
"414","2014","Febrero","Navarra, Comunidad Foral de","4",2570.49
"415","2014","Febrero","Navarra, Comunidad Foral de","5",1656.89
"416","2014","Febrero","País Vasco","1",17943.44
"417","2014","Febrero","País Vasco","2",33745.55
"418","2014","Febrero","País Vasco","3",48796.87
"419","2014","Febrero","País Vasco","4",8743.85
"420","2014","Febrero","País Vasco","5",5435.51
"421","2014","Febrero","Valenciana, Comunidad","1",55538.07
"422","2014","Febrero","Valenciana, Comunidad","2",63063.81
"423","2014","Febrero","Valenciana, Comunidad","3",89071.95
"424","2014","Febrero","Valenciana, Comunidad","4",20372.95
"425","2014","Febrero","Valenciana, Comunidad","5",16245.52
"426","2014","Julio","Andalucía","1",90715.03
"427","2014","Julio","Andalucía","2",121023.72
"428","2014","Julio","Andalucía","3",139733.54
"429","2014","Julio","Andalucía","4",28464.86
"430","2014","Julio","Andalucía","5",36313.29
"431","2014","Julio","Aragón","1",13754.56
"432","2014","Julio","Aragón","2",25544.97
"433","2014","Julio","Aragón","3",25549.77
"434","2014","Julio","Aragón","4",5514.02
"435","2014","Julio","Aragón","5",4905.66
"436","2014","Julio","Asturias, Principado de","1",12856.42
"437","2014","Julio","Asturias, Principado de","2",21080.98
"438","2014","Julio","Asturias, Principado de","3",22384.52
"439","2014","Julio","Asturias, Principado de","4",4619.27
"440","2014","Julio","Asturias, Principado de","5",3075.37
"441","2014","Julio","Canarias","1",35566.51
